App Log v1.0
[19:24:08] INFO     | CORE: Starting TVTower, v0.8.2 Build "20.12.23 16:08".
[19:24:08] LOAD     | TEVENTMANAGER.INIT(): OK
[19:24:08] DBG      | APPLYSETTINGS(): SetFullscreen = 1
[19:24:08] DBG      |                : SetResolution = 1600x1200
[19:24:08] DBG      | SOUNDMANAGER.SETAUDIOENGINE(): initialized with engine "AUTOMATIC [AUTOMATIC]".
[19:24:08] DBG      | PLAYMUSICORPLAYLIST: GetMusicStream from Playlist "menu" not possible. No Playlist.
[19:24:08] DBG      |                    : Music not found. Using random from default playlist
[19:24:08] DBG      |                    : could not start activeMusicChannel: no next music found
[19:24:08] DBG      | GRAPHICSMANAGER.INITGRAPHICS(): Initializing graphics.
[19:24:08] DBG      |                               : SetGraphicsDriver "OpenGL".
[19:24:08] DBG      |                               : Initialized graphics with "OpenGL".
[19:24:08] DBG      |                               : Initialized virtual graphics (for optional letterboxes).
[19:24:08] DBG      | APP.CREATE(): Loading base resources.
[19:24:08] DBG      | TSOUNDMANAGER.GETMUSICSTREAM(): Play music: sfx_music_title
[19:24:08] DBG      | PLAYMUSICORPLAYLIST: GetMusicStream by name "sfx_music_title"
[19:24:08] DBG      |                    : start activeMusicChannel
[19:24:09] LOAD DBG | STARTTVTOWER(): DEV RoundToBeautiful is enabled
[19:24:10] INFO     | TAPP.START(): loading time: 1937ms
[19:24:13] DBG      | DIALOGUES: Created LoadGame-Menu.
[19:24:22] DBG      |          : Closing Escape-Menu, continuing game.
[19:24:22] SAVE DBG | SAVEGAME.LOAD(): Restored TEntityBase.lastID=39232, TGameObject.LastID=39232.
[19:24:23] SAVE DBG |                : Savegame file "savegames/aktualne.zst" loaded in 678ms.
[19:24:23] DBG      | TGAMESTATE.INITIALIZE(): Reinitialize all game objects
[19:24:23] DBG      | TSCREENHANDLER_PROGRAMMEPLANNER.INITPROGRAMMEPLANNERBACKGROUND(): Converted "screen_bg_programmeplanner" color space to RGB.
[19:24:23] SAVE DBG | TROOMCOLLECTION: Savegame started loading - clean occupants list
[19:24:23] SAVE DBG | TFIGUREBASECOLLECTION: Savegame loaded - reassigning achievement event listeners
[19:24:23] SAVE DBG |                      : Savegame loaded - reassigning sprites
[19:24:23] SAVE DBG | TSTATIONMAPCOLLECTION: Savegame loaded - reloading map data
[19:24:23] LOAD DBG | TGETSTATIONMAPCOLLECTION().CREATEPOPULATIONMAP: calculated a population of:80339766 in 17ms
[19:24:23] LOAD DBG | TGETSTATIONMAPCOLLECTION().ASSIGNPRESSUREGROUPS: Assigned pressure groups to sections of the map not containing predefined ones.
[19:24:23] SAVE DBG | TELEVATOR: Savegame loaded - reassigning sprites and soundsource
[19:24:23] SAVE DBG | TBUILDING: Savegame loaded - reassign sprites, recreate movement paths for gfx.
[19:24:23] SAVE DBG | TGAME: Savegame loaded - colorize players.
[19:24:23] DBG      | TAIBASE: Starting AI 2 using script res/ai/DefaultAIPlayer/DefaultAIPlayer.lua
[19:24:23] DBG      |        : Loaded LUA for AI 2. Time: 0ms
[19:24:23] DBG      |        : Created AI 2 Update Thread
[19:24:23] DBG      |        : Starting AI 3 using script res/ai/DefaultAIPlayer/DefaultAIPlayer.lua
[19:24:23] DBG      |        : Loaded LUA for AI 3. Time: 0ms
[19:24:23] DBG      |        : Created AI 3 Update Thread
[19:24:23] DBG      |        : Starting AI 4 using script res/ai/DefaultAIPlayer/DefaultAIPlayer.lua
[19:24:23] DBG      |        : Loaded LUA for AI 4. Time: 0ms
[19:24:23] DBG      |        : Created AI 4 Update Thread
[19:24:23] SAVE DBG | TROOMHANDLERCOLLECTION: Savegame loaded - reassigning handlers
[19:24:23] DBG      | ADAGENCY.REFILLBLOCKS: RefillBlocksMode2.
[19:24:23] DBG      |                      :     Cheap filter: Audience: 0.05 - 0.50%  MinImage: 0.00 - 0.00MaxImage: -1.004 - -1.004
[19:24:23] DBG      |                      :   Level 0 filter: Audience: 0.51 - 0.00%  MinImage: 0.00 - 0.00MaxImage: -1.004 - -1.004
[19:24:23] SAVE DBG | SAVEGAME.CLEANUPDATA().: Scriptcollection:
[19:24:23] SAVE DBG |                        : Removed 0 generated but unused scripts from collection.
[19:24:23] DBG      | TGAME: ====== START SAVED GAME ======
[19:24:23] DBG      | GAME.PREPARESTART(): loading most current (official) achievements
[19:24:23] XML      | LOADV3ACHIEVEMENTFROMNODE(): Extending achievement "Regional broadcaster". GUID=tvt-gameachievement-audience1
[19:24:23] XML      | LOADV3ACHIEVEMENTELEMENTFROMNODE(): Extending achievement task "Reach an audience of 250,000". GUID=tvt-gameachievement-task-audience1
[19:24:23] XML      |                                   : Extending achievement reward "50.000ам". GUID=tvt-gameachievement-reward-audience1
[19:24:23] XML      | LOADV3ACHIEVEMENTFROMNODE(): Extending achievement "Broadcaster in the fast lane". GUID=tvt-gameachievement-audience2
[19:24:23] XML      | LOADV3ACHIEVEMENTELEMENTFROMNODE(): Extending achievement task "Reach an audience of 2.5 million". GUID=tvt-gameachievement-task-audience2
[19:24:23] XML      |                                   : Extending achievement reward "100.000ам". GUID=tvt-gameachievement-reward-audience2
[19:24:23] XML      | LOADV3ACHIEVEMENTFROMNODE(): Extending achievement "They know us". GUID=tvt-gameachievement-audience3
[19:24:23] XML      | LOADV3ACHIEVEMENTELEMENTFROMNODE(): Extending achievement task "Reach an audience of 10 million". GUID=tvt-gameachievement-task-audience3
[19:24:23] XML      |                                   : Extending achievement reward "200.000ам". GUID=tvt-gameachievement-reward-audience3
[19:24:23] XML      | LOADV3ACHIEVEMENTFROMNODE(): Extending achievement "Everyday journalism". GUID=tvt-gameachievement-newsaudience1
[19:24:23] XML      | LOADV3ACHIEVEMENTELEMENTFROMNODE(): Extending achievement task "Reach an audience of 150.000 with a news show". GUID=tvt-gameachievement-task-newsaudience1
