Distillery;Location;Region;Founded;Owner;Number wash stills;Capacity [l];Number mid stills;Capacity [l];Number spirit stills;Capacity [l];Number column stills;Capacity;Production [l];Water source;Cask type(s);Status;Type;Product Info, More info;Country
Aberargie;Aberargie;Lowland;2017;Perth Distilling Co;?;?;?;?;?;?;X;X;?;?;?;Operational;Malt whisky;;Scotland
Aberfeldy;Aberfeldy;Highland;1896;John Dewar & Sons;2;?;X;X;2;?;X;X;3 500 000;Pitilie Burn;American White Oak, Ex-Bourbon Casks (Main);Operational;Malt whisky;;Scotland
Aberlour;Aberlour;Speyside;1879;Chivas Brothers;2;21310;X;X;2;"20000; 15456";X;X;3 900 000;Birkenbush, Target spring;?;Operational;Malt whisky;;Scotland
Abhainn Dearg;Uig, Isle of Lewis;Island;2008;Mark Tayburn;?;?;?;?;?;?;X;X;?;?;?;Operational;Malt whisky;;Scotland
Ailsa Bay;Girvan;Lowland;2009;William Grant & Sons;8;?;X;X;8;?;X;X;12 000 000;Penwapple reservoir;?;Operational;Malt whisky;;Scotland
Allt-A-Bhainne;Glenrinnes;Speyside;1975;Chivas Brothers;2;?;X;X;2;?;X;X;4 000 000;Springs on Benrinnes;?;Operational;Malt whisky;;Scotland
Annandale;Annan;Lowland;1836;Annandale Distillery Company;1;?;X;X;2;?;X;X;260 000;Bore Hole on site;?;Operational;Malt whisky;;Scotland
Arbikie;Inverkeilor;Highland;2013;Arbikie Highland Estate;1;?;X;X;1;?;X;X;200 000;?;?;Operational;Malt whisky;;Scotland
Ardbeg;Port Ellen;Islay;1815;LVMH;1;18000;X;X;1;17000;X;X;1 250 000;Loch Uigeadail;Bourbon, Sherry;Operational;Malt whisky;;Scotland
Ardmore;Kennethmont;Highland;1898;Suntory Global Spirits;4;15000;X;X;4;15000;X;X;5 530 000;Springs on Knockandy Hill;American white oak ex-bourbon ;Operational;Malt whisky;;Scotland
Ardnahoe;Port Askaig;Islay;2019;Hunter Laing & Company;1;?;X;X;1;?;X;X;900 000;Ardnahoe Loch;?;Operational;Malt whisky;;Scotland
Ardnamurchan;Ardnamurchan;Highland;2014;Adelphi Distillery Co;1;?;X;X;1;?;X;X;500 000;Glenmore River and springs above the distillery;?;Operational;Malt whisky;;Scotland
Ardross;Alness;Highland;2019;Greenwood Distillers;1;?;X;X;1;?;X;X;1 000 000;Loch Dubh;?;Operational;Malt whisky;;Scotland
Arran;Lochranza;Island;1995;Isle of Arran Distillers Ltd.;2;?;X;X;2;?;X;X;750 000;Loch na Davie;American White Oak, Ex-Bourbon Casks (Main) Ex Sherry Casks;Operational;Malt whisky;;Scotland
Auchentoshan;Dalmuir;Lowland;1823;Suntory Global Spirits;1;?;1;?;1;?;X;X;1 800 000;Loch Katrine (Production) & Loch Cochno (Cooling)[2];?;Operational;Malt whisky;;Scotland
Auchroisk;Mulben;Speyside;1972;Diageo;4;?;X;X;4;?;X;X;3 100 000;Dorie's Well;?;Operational;Malt whisky;;Scotland
Aultmore;Banffshire;Speyside;1895;John Dewar & Sons;2;?;X;X;2;?;X;X;2 100 000;Auchinderran burn;?;Operational;Malt whisky;;Scotland
Balblair;Edderton;Highland;1790;Inver House Distillers;1;20 000;X;X;1;8500;X;X;1 800 000;The Allt Dearg;?;Operational;Malt whisky;;Scotland
Ballindalloch;Ballindalloch;Speyside;2014;Ballindalloch Distillery LLP;1;?;X;X;1;?;X;X;100 000;Garline Springs;?;Operational;Malt whisky;;Scotland
Balmenach;Cromdale;Speyside;1824;Inver House Distillers;3;?;X;X;3;?;X;X;2 000 000;Spring on the Cromdale Hills;?;Operational;Malt whisky;;Scotland
Balvenie;Dufftown;Speyside;1892;William Grant & Sons;5;?;X;X;6;?;X;X;5 600 000;Robbie Dubh;Bourbon, Sherry, Port, Rum, Madeira;Operational;Malt whisky;;Scotland
Ben Nevis;Fort William;Highland;1825;Nikka Whisky Distilling Co Ltd;2;25000;X;X;2;20000;X;X;2 000 000;Allt a'Mhuilinn;?;Operational;Malt whisky;;Scotland
Benbecula;Outer Hebrides;Island;2024;Angus A. MacMillan;?;?;?;?;?;?;X;X;?;?;?;Operational;Malt whisky;;Scotland
BenRiach;Longmorn, Moray;Speyside;1898;Brown-Forman;2;?;X;X;2;?;X;X;1 300 000;Burnside Springs;Ex-Bourbon, Ex-Jamaican Rum, Toasted Virgin Oak;Operational;Malt whisky;;Scotland
Benrinnes;Banffshire;Speyside;1826;Diageo;2;?;X;X;4;?;X;X;2 500 000;Scurran Burn and Rowantree Burn;?;Operational;Malt whisky;;Scotland
Benromach;Forres;Speyside;1898;Gordon & MacPhail;1;?;X;X;1;?;X;X;400 000;Chapelton Springs in the Romach Hills;?;Operational;Malt whisky;;Scotland
Blackness;Linlithgow;Lowland;2024;Colm O'Rourke;?;?;?;?;?;?;X;X;?;?;?;Operational;Malt whisky;;Scotland
Bladnoch;Wigtown;Lowland;1817;David Prior;2;?;X;X;2;?;X;X;1 500 000;River Bladnoch;?;Operational;Malt whisky;;Scotland
Blair Athol;Pitlochry;Highland;1798;Diageo;2;13000;X;X;2;12000;X;X;2 500 000;Allt Dour Burn;?;Operational;Malt whisky;;Scotland
Bonnington;Edinburgh;Lowland;2020;Halewood Artisanal Spirits;?;?;?;?;?;?;X;X;?;?;?;Operational;Malt whisky;;Scotland
Borders;Hawick;Lowland;2018;The Three Stills Company;2;?;X;X;2;?;X;X;2 000 000;River Teviot;?;Operational;Malt whisky;;Scotland
Bowmore;Bowmore;Islay;1779;Suntory Global Spirits;2;?;X;X;2;?;X;X;1 700 000;River Laggan, Islay;"American Oak (86%)
Sherry (14%)";Operational;Malt whisky;"Legend; 12-year-old; 15-year-old; 18-year-old; 25-year-old";Scotland
Braeval;Ballindalloch;Speyside;1973;Chivas Brothers;2;?;X;X;4;?;X;X;4 200 000;Preenie & Kate's Well (distilling), Pitilie Burn (cooling water);?;Operational;Malt whisky;;Scotland
Brora;Brora;Highland;1819;Diageo;1;13 500;X;X;1;13 500;X;X;?;Clynemilton Burn;?;Operational;Malt whisky;;Scotland
Bruichladdich;Rhinns of Islay;Islay;1881;Rémy Cointreau;2;12000;1;adjustable;2;11000;X;X;1 500 000;Bruichladdich loch (mash), burn (cooling), and Octomore spring (bottling);?;Operational;Malt whisky;;Scotland
Bunnahabhain;Port Askaig;Islay;1881;Distell;2;30 000;X;X;2;15 000;X;X;3 500 000;Margadale River;?;Operational;Malt whisky;;Scotland
Burn O'Bennie;Banchory;Highland;2021;Deeside Brewery & Distillery Ltd.;?;?;?;?;?;?;X;X;?;?;?;Operational;Malt whisky;;Scotland
Cabrach;Cabrach;Speyside;2024;The Cabrach Trust;?;?;?;?;?;?;X;X;?;?;?;Operational;Malt whisky;;Scotland
Cairn;Grantown-on-Spey;Speyside;2022;Gordon & MacPhail;?;?;?;?;?;?;X;X;?;?;?;Operational;Malt whisky;;Scotland
Caol Ila;Port Askaig;Islay;1846;Diageo;3;19 000;X;X;3;12 000;X;X;6 500 000;Loch nam Ban;American oak;Operational;Malt whisky;;Scotland
Cardhu;Knockando;Speyside;1824;Diageo;3;12 000;X;X;3;10 500;X;X;3 500 000;Sources in the Mannoch Hills and Lyne Burn;?;Operational;Malt whisky;;Scotland
Clydeside;Glasgow;Lowland;2017;Morrison Glasgow Distillers;1;?;X;X;1;?;X;X;500 000;Loch Katrine;?;Operational;Malt whisky;;Scotland
Clynelish;Brora;Highland;1967;Diageo;3;?;X;X;3;?;X;X;4 800 000;Clynemilton burn;?;Operational;Malt whisky;;Scotland
Crafty;Galloway;Lowland;2017;Graham Taylor;?;?;?;?;?;?;X;X;?;?;?;Operational;Malt whisky;;Scotland
Cragganmore;Ballindalloch;Speyside;1869;Diageo;2;?;X;X;2;?;X;X;1 520 000;The Craggan Burn;?;Operational;Malt whisky;;Scotland
Craigellachie;Craigellachie;Speyside;1891;John Dewar & Sons;2;?;X;X;2;?;X;X;4 000 000;Local;?;Operational;Malt whisky;;Scotland
