"Year","$%","Title_EN","Country","Genres","Distribution","IMDb"
1898,"55","Train Arriving at Bombay Station","IND","Documentary/Report",,"tt0320653"
1916,"95","20,000 Leagues Under the Sea","USA","Adventure/Family/Sci-Fi",,"tt0006333"
1920,"70","The Cabinet of Dr. Caligari","D","Crime/Horror/Mystery",,"tt0010323"
1920,"65","The Mark of Zorro","USA","Adventure/Western/Romance",,"tt0011439"
1922,"70","Nosferatu: A Symphony of Horror","D","Horror/Drama/Fantasy",,"tt0013442"
1922,"67","Dr. Mabuse, the Gambler","D","Crime/Thriller/Horror",,"tt0013086"
1925,"70","Battleship Potemkin","SU","Drama/History/Thriller",,"tt0015648"
1927,"80","Metropolis","D","Epic/Drama/Sci-Fi",,"tt0017136"
1928,"68","Spies","D","Crime/Thriller/Romance",,"tt0019415"
1929,"56","Woman in the Moon","D","Sci-Fi/Drama/Adventure",,"tt0019901"
1930,"84","The Blue Angel","D","Drama/Music/Comedy",,"tt0020697"
1931,"85","Frankenstein","USA","Horror/Drama/Sci-Fi",,"tt0021884"
1931,"85","Emil and the Detectives","D","Family/Adventure/Drama",,"tt0021836"
1931,"83","M","D","Crime/Mystery/Thriller",,"tt0022100"
1931,"80","Dracula","USA","Horror/Drama/Fantasy",,"tt0021814"
1931,"62","The Champ","USA","Drama/Action/Sports",,"tt0021730"
1931,"55","City Streets","USA","Crime/Drama/Mystery",,"tt0021750"
1931,"55","Pardon Us","USA","Comedy/Family/Crime",,"tt0022251"
1931,"53","The Stolen Jools","USA","Comedy/Family/Crime",,"tt0022402"
1931,"49","An American Tragedy","USA","Romance/Drama/Crime",,"tt0021607"
1932,"74","Grand Hotel","USA","Drama/Romance",,"tt0022958"
1932,"70","Tarzan the Ape Man","USA","Adventure/Action/Romance",,"tt0023551"
1932,"60","Blonde Venus","USA","Drama/-",,"tt0022698"
1932,"56","Shanghai Express","USA","Thriller/Romance/Adventure",,"tt0023458"
1932,"42","Freaks","USA","Drama/Adventure/Horror",,"tt0022913"
1933,"90","King Kong","USA","Adventure/Horror/Fantasy",,"tt0024216"
1933,"75","The Devil's Brother / Bogus Bandits / Fra Diavolo","USA","Comedy/Family/Music",,"tt0023943"
1933,"75","The Testament of Dr. Mabuse","D","Crime/Thriller/Horror",,"tt0023563"
1933,"75","The Invisible Man","USA","Sci-Fi/Thriller/Horror",,"tt0024184"
1933,"51","Sons of the Desert","USA","Comedy/Family/Adventure",,"tt0024601"
1933,"46","Laughing Heirs","D","Comedy/Romance",,"tt0024236"
1934,"65","It Happened One Night","USA","Romance/Comedy",,"tt0025316"
1934,"59","The Thin Man","USA","Crime/Comedy/Mystery",,"tt0025878"
1934,"58","The Man Who Knew Too Much","GB","Crime/Thriller/Mystery",,"tt0025452"
1935,"63","The Devil Is a Woman","USA","Romance/Comedy/Drama",,"tt0026276"
1935,"62","Fanfare of Love","F","Comedy/Romance/Music",,"tt0191124"
1935,"45","Barbary Coast","USA","Western/Drama/History",,"tt0026097"
1936,"68","Little Lord Fauntleroy","USA","Family/Drama",,"tt0027893"
1936,"67","The Trail of the Lonesome Pine","USA","Western/Romance/Adventure",,"tt0028401"
1936,"65","Modern Times","USA","Comedy/Drama/Romance",,"tt0027977"
1936,"60","Fury","USA","Crime/Drama",,"tt0027652"
1936,"57","Drums Along the Mohawk","USA","Western/Drama/History",,"tt0031252"
1937,"95","Snow White and the Seven Dwarfs","USA","Animation/Family/Fantasy",,"tt0029583"
1937,"52","That Certain Woman","USA","Drama/Romance",,"tt0029650"
1937,"40","You Only Live Once","USA","Crime/Drama/Mystery",,"tt0029808"
1938,"57","Jezebel","USA","Drama/Romance",,"tt0030287"
1938,"47","Bringing Up Baby","USA","Comedy/Romance",,"tt0029947"
1938,"30","You and Me","USA","Crime/Romance/Comedy",,"tt0030996"
1939,"98","Gone with the Wind","USA","Epic/Drama/Romance",,"tt0031381"
1939,"85","The Wizard of Oz","USA","Fantasy/Family/Music",,"tt0032138"
1939,"80","Wuthering Heights","USA","Romance/Drama",,"tt0032145"
1939,"73","Dodge City","USA","Western/-",,"tt0031235"
1939,"55","The Flying Deuces / The Flying Aces","USA","Comedy/Family/Action",,"tt0031322"
1940,"93","Pinocchio","USA","Animation/Family/Adventure",,"tt0032910"
1940,"90","Fantasia","USA","Animation/Family/Music",,"tt0032455"
1940,"84","The Great Dictator","USA","Comedy/Drama",,"tt0032553"
1940,"72","The Philadelphia Story","USA","Romance/Comedy",,"tt0032904"
1940,"69","The Grapes of Wrath","USA","Drama/-",,"tt0032551"
1940,"61","The Return of Frank James","USA","Western/Drama",,"tt0032983"
1940,"61","The Mark of Zorro","USA","Adventure/Western/Romance",,"tt0032762"
1940,"58","Pride and Prejudice","USA","Romance/Drama",,"tt0032943"
1940,"56","Saps at Sea","USA","Comedy/Family/Crime",,"tt0033022"
1940,"55","A Chump at Oxford","USA","Comedy/Family",,"tt0032339"
1940,"35","Dr. Ehrlich's Magic Bullet","USA","Drama/History",,"tt0032413"
1940,"35","His Girl Friday","USA","Comedy/Drama/Romance",,"tt0032599"
1941,"64","The Maltese Falcon","USA","Crime/Mystery",,"tt0033870"
1941,"61","Citizen Kane","USA","Drama/Mystery",,"tt0033467"
1941,"60","Remorques: Stormy Waters","F","Romance/Adventure/Drama",,"tt0034093"
1941,"55","Dumbo","USA","Animation/Family/Adventure",,"tt0033563"
1942,"91","Bambi","USA","Animation/Family/Drama",,"tt0034492"
1942,"82","The Jungle Book","GB/USA","Family/Adventure/Action",,"tt0034928"
1942,"64","Quax the Crash Pilot","D","Comedy/Adventure",,"tt0034076"
1942,"63","The Magnificent Ambersons","USA","Drama/Romance",,"tt0035015"
1942,"59","The Big Shot","USA","Crime/Drama",,"tt0034513"
1943,"75","The Adventures of Baron Munchausen","D","Family/Adventure/Fantasy",,"tt0036191"
1943,"72","Casablanca","USA","Romance/Drama/Thriller",,"tt0034583"
1943,"15","Undercover: How to Operate Behind Enemy Lines","USA","Documentary/Drama/Adventure",,"tt0274560"
1943,"10","German Industrial Manpower","USA","Documentary/-","d2TV","tt0274519"
1944,"78","Arsenic and Old Lace","USA","Comedy/Mystery/Thriller",,"tt0036613"
1944,"77","To Have and Have Not","USA","Thriller/Drama/Romance",,"tt0037382"
1944,"75","The Punch Bowl","D","Comedy/-",,"tt0036818"
1944,"72","Passage to Marseille","USA","Thriller/Drama/Romance",,"tt0037166"
1944,"72","Gaslight","USA","Drama/Thriller/Mystery",,"tt0036855"
1944,"52","Laura","USA","Crime/Drama/Mystery",,"tt0037008"
1945,"64","Conflict","USA","Crime/Drama/Mystery",,"tt0037611"
1945,"50","Burning Hearts","D","Adventure/Drama/History",,"tt0036989"
1946,"80","The Best Years of Our Lives","USA","Drama/Romance",,"tt0036868"
1946,"77","Great Expectations","GB","Drama/Adventure/Mystery",,"tt0038574"
1946,"73","It's a Wonderful Life","USA","Drama/Family/Fantasy",,"tt0038650"
1946,"70","Murderers Among Us","D","Drama/Thriller/Romance",,"tt0038769"
1946,"65","The Postman Always Rings Twice","USA","Crime/Drama/Romance",,"tt0038854"
1946,"62","The Big Sleep","USA","Crime/Mystery/Romance",,"tt0038355"
1946,"61","Cloak and Dagger","USA","Thriller/Adventure/Drama",,"tt0038417"
1947,"69","Dark Passage","USA","Thriller/Mystery/Romance",,"tt0039302"
1947,"66","The Two Mrs. Carrolls","USA","Crime/Drama/Mystery",,"tt0039926"
1947,"43","Secret Beyond the Door","USA","Crime/Thriller/Drama",,"tt0040766"
1948,"85","The Red Shoes","GB","Romance/Drama/Music",,"tt0040725"
1948,"79","Red River","USA","Western/Drama",,"tt0040724"
1948,"76","Key Largo","USA","Crime/Drama/Action",,"tt0040506"
1948,"74","The Three Musketeers","USA","Adventure/Action/Drama",,"tt0040876"
1948,"69","Oliver Twist","GB","Drama/Adventure/Crime",,"tt0040662"
1948,"65","Fort Apache","USA","Western/Drama",,"tt0040369"
1948,"64","The Treasure of the Sierra Madre","USA","Western/Drama/Adventure",,"tt0040897"
1948,"55","All My Sons","USA","Drama/Mystery",,"tt0040087"
1948,"30","Macbeth","USA","Drama/Adventure/History",,"tt0040558"
1949,"75","The Third Man","GB/USA","Crime/Thriller/Mystery",,"tt0041959"
1949,"72","She Wore a Yellow Ribbon","USA","Western/Drama",,"tt0041866"
1949,"64","Adam's Rib","USA","Comedy/Drama/Romance",,"tt0041090"
1949,"58","It's a Great Feeling","USA","Comedy/Music",,"tt0041515"
1950,"90","Cinderella","USA","Animation/Family/Fantasy",,"tt0042332"
1950,"77","King Solomon's Mines","USA","Adventure/Action/Romance",,"tt0042646"
1950,"76","Father of the Bride","USA","Comedy/Drama/Romance",,"tt0042451"
1950,"71","Two Times Lotte","D","Family/Comedy",,"tt0042409"
1950,"68","Rashomon","J","Drama/Thriller/Mystery",,"tt0042876"
1950,"66","Cheaper by the Dozen","USA","Family/Comedy/Drama",,"tt0042327"
