"Year","$%","Title_EN","Country","Genres","Distribution","IMDb"
1949,"29","Yesterday's Westerns","USA","Western/-","d2TV","tt2757036"
1953,"30","The Rose and the Ring","GB","Fantasy/Family/Drama","d2TV","tt3636830"
1954,"52","Lassie (Season 1)","USA","Family/Adventure/Drama","d2TV","tt0046617"
1955,"74","Gunsmoke (Season 1)","USA","Western/Drama","d2TV","tt0047736"
1955,"54","Lassie (Season 2)","USA","Family/Adventure/Drama","d2TV","tt0046617"
1956,"81","Gunsmoke (Season 2)","USA","Western/Drama","d2TV","tt0047736"
1956,"79","Lassie (Season 3)","USA","Family/Adventure/Drama","d2TV","tt0046617"
1957,"85","Gunsmoke (Season 3)","USA","Western/Drama","d2TV","tt0047736"
1957,"77","Lassie (Season 4)","USA","Family/Adventure/Drama","d2TV","tt0046617"
1958,"85","Gunsmoke (Season 4)","USA","Western/Drama","d2TV","tt0047736"
1958,"74","Lassie (Season 5)","USA","Family/Adventure/Drama","d2TV","tt0046617"
1958,"40","The Veil","USA","Mystery/Crime/Thriller","d2TV","tt0255763"
1959,"67","Bonanza (Season 1)","USA","Western/Drama/Family","d2TV","tt0052451"
1959,"73","Lassie (Season 6)","USA","Family/Adventure/Drama","d2TV","tt0046617"
1960,"74","Bonanza (Season 2)","USA","Western/Drama/Family","d2TV","tt0052451"
1960,"70","Lassie (Season 7)","USA","Family/Adventure/Drama","d2TV","tt0046617"
1960,"55","Popeye the Sailor (Season 1)","USA","Animation/Comedy/Adventure","d2TV","tt0145628"
1960,"56","The Bugs Bunny Show","USA","Animation/Comedy/Family","d2TV","tt0053488"
1960,"72","The Flintstones (Season 1)","USA","Animation/Family/Comedy","d2TV","tt0053502"
1961,"80","Bonanza (Season 3)","USA","Western/Drama/Family","d2TV","tt0052451"
1961,"74","Lassie (Season 8)","USA","Family/Adventure/Drama","d2TV","tt0046617"
1961,"55","Mister Ed (Season 1)","USA","Comedy/Family/Fantasy","d2TV","tt0054557"
1961,"55","Mister Ed (Season 2)","USA","Comedy/Family/Fantasy","d2TV","tt0054557"
1961,"50","Popeye the Sailor (Season 2)","USA","Animation/Comedy/Adventure","d2TV","tt0145628"
1961,"71","The Flintstones (Season 2)","USA","Animation/Family/Comedy","d2TV","tt0053502"
1962,"80","Bonanza (Season 4)","USA","Western/Drama/Family","d2TV","tt0052451"
1962,"70","The Flintstones (Season 3)","USA","Animation/Family/Comedy","d2TV","tt0053502"
